imo_number,mmsi,name,vessel_class,ship_type,flag,dwt_mt,gross_tonnage,loa_m,beam_m,max_draft_m,cargo_capacity_mt,year_built,source,source_reference,provenance,observed_at,identity_classification
9182801,218066000,FMS MAARTJE THEADORA,Fishing Vessel,Fishing Vessel,,9138.0,9082.0,140.0,18.0,8.0,,2000.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
8513601,257026800,STORD,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,817.0,2871.0,86.0,14.0,4.3,,1987.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9007130,227289000,BARFLEUR,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,5175.0,20133.0,158.0,24.0,5.6,,1992.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,MERCURY [ PILOT ],Pilot,Pilot,,,,21.0,6.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9261889,226326000,CMACGM FORT ST LOUIS,Container Ship,Container Ship,,30804.0,26342.0,197.0,30.0,11.01,,2003.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,BIANCA PEILBOOT,Dredging or UW ops,Dredging or UW ops,,,,15.0,5.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9339832,432633000,MICHIGAN HIGHWAY,Vehicles Carrier,Vehicles Carrier,,17673.0,56951.0,199.0,32.0,9.826,,2008.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
8741868,219012703,FONIKS SUPPLY,Supply Tender,Supply Tender,,,175.0,28.0,8.0,,,1973.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9371402,636092436,TONGAN,Container Ship,Container Ship,,12612.0,10965.0,141.0,23.0,8.7,,2007.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9122552,246167000,ROTTERDAM,Passenger (Cruise) Ship,Passenger (Cruise) Ship,,6354.0,61849.0,242.0,32.0,8.0,,1997.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
5221491,211232340,THOR HEYERDAHL,Passenger Ship,Passenger Ship,,315.0,211.0,50.0,6.0,2.2,,1931.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,MER-GREEN,Cargo ship,Cargo ship,,,,86.0,10.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9293947,564178000,NORD FARER,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,40083.0,25382.0,176.0,31.0,11.1,,2005.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
7417238,576318000,STATIA RESPONDER,Offshore Tug/Supply Ship,Offshore Tug/Supply Ship,,,996.0,60.0,17.0,4.478,,1976.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9457737,636014997,YM MOBILITY,Container Ship,Container Ship,,81145.0,76787.0,305.0,40.0,12.0,,2011.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9199086,219000836,AEROESKOEBING,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,204.0,1617.0,,,2.59,,1999.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9299903,240350000,M.T DEEP BLUE,Crude Oil Tanker,Crude Oil Tanker,,111008.0,62404.0,250.0,44.0,14.6,,2005.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9196199,236238000,FRI PORSGRUNN,General Cargo Ship,General Cargo Ship,,3792.0,2868.0,89.0,13.0,5.668,,2000.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9154323,235087256,STOLT KINGFISHER,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,5890.0,3726.0,100.0,17.0,6.788,,1998.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,IMPETUS 2,Pleasure craft,Pleasure craft,,,,14.0,4.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
